id,youtube_url,filename,brews
MN0Mg1uyznU,https://www.youtube.com/watch?v=MN0Mg1uyznU,"ASMR _ Homebrewing Airlock Symphony 🍺🎼 Soothing + Satisfying!-MN0Mg1uyznU.m4a",3
by0e-EkAsOE,https://www.youtube.com/watch?v=by0e-EkAsOE,"One hour of apple wine airlock bubbling-by0e-EkAsOE.m4a",1
q2srYoC3FOo,https://www.youtube.com/watch?v=q2srYoC3FOo,"Bubbling airlock on pear cider-q2srYoC3FOo.m4a",1
p0jtxp5nWms,https://www.youtube.com/watch?v=p0jtxp5nWms,"Watch an Airlock Bubbling During Mead Fermentation - Entertainment for Brewers-p0jtxp5nWms.m4a",1
f3bLQLT48Yc,https://www.youtube.com/watch?v=f3bLQLT48Yc,"Ginger beer brewing day nine-f3bLQLT48Yc.m4a",1
WHlSNkq29k4,https://www.youtube.com/watch?v=WHlSNkq29k4,"Airlock during fermentation.-WHlSNkq29k4.m4a",1
51ytpDZj8v4,https://www.youtube.com/watch?v=51ytpDZj8v4,"Elderflower Airlock-51ytpDZj8v4.m4a",1
gQFo3Lg2MAc,https://www.youtube.com/watch?v=gQFo3Lg2MAc,"Airlock bubbler_Home brewing-gQFo3Lg2MAc.m4a",1
po2u_qI7-us,https://www.youtube.com/watch?v=po2u_qI7-us,"S-Style Beer_Wine Air Lock Bubbling-po2u_qI7-us.m4a",1
ZPmEByu-4xQ,https://www.youtube.com/watch?v=ZPmEByu-4xQ,"Primary Fermentation Air Lock-ZPmEByu-4xQ.m4a",1

